Year,Population Est.,Deaths,Injury deaths,Unintentional,Suicide,Homicide,Undetermined,Legal Intervention/war,Cut/pierce,Drowning,Fall,Fire/Hot object,Assault (homicide),Firearm ,Firearm/unintentional,Firearm/Suicide,Firearm/homicide,Firearm/undetermined,Legal/war,Machinery,Transport,Nature/Env.,Poisoning,Suffocation,Source
2003,290107933,2448288,164002,109277,31484,17732,5072,437,2742,3919,18044,3875,17732,30136,730,16907,11920,232,347,640,47603,1420,28700,12992,https://www.cdc.gov/nchs/data/nvsr/nvsr54/nvsr54_13.pdf
2004,292805298,2397615,167184,112012,32439,17357,4976,400,2799,3952,19571,3728,17357,29569,649,16750,11624,235,311,795,47565,1359,30308,14043,https://www.cdc.gov/nchs/data/nvsr/nvsr55/nvsr55_19.pdf
2005,295516599,2448017,173753,117809,32637,18124,4742,441,2795,4248,20426,3736,18124,30694,789,17002,12352,221,330,755,47894,2462,32691,13920,https://www.cdc.gov/nchs/data/nvsr/nvsr56/nvsr56_10.pdf
2006,298379912,2426264,179065,121599,33300,18573,5131,462,2831,4279,21647,3675,18573,30896,642,16883,12791,220,360,740,47878,1588,37286,14179,https://www.cdc.gov/nchs/data/nvsr/nvsr57/nvsr57_14.pdf
2007,301231207,2423712,182479,123706,34598,18361,5381,433,2734,4086,23443,3774,18361,31224,613,17352,12632,276,351,659,46250,1449,40059,14930,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_19.pdf
2008,304093966,2471984,181226,121902,36035,17826,5051,412,2808,4251,24820,3382,17826,31593,592,18223,12179,273,326,693,42094,1409,41080,15434,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_10.pdf
2009,306771529,2437163,177154,118021,36909,16799,5005,420,2688,4211,25562,3195,16799,31347,554,18735,11493,232,333,608,38438,1327,41592,15645,https://www.cdc.gov/nchs/data/nvsr/nvsr60/nvsr60_03.pdf
2010,309338421,2468435,180811,120859,38364,16259,4908,421,2598,4521,26852,3194,16259,31672,606,19392,11078,252,344,590,37402,1576,42917,16362,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_04.pdf
2011,311644280,2515458,187464,126438,39518,16238,4773,497,2587,4245,28360,3172,16238,32351,591,19990,11068,248,454,610,37520,2193,46047,16832,https://www.cdc.gov/nchs/data/nvsr/nvsr63/nvsr63_03.pdf
2012,313993272,2543279,190385,127792,40600,16688,4737,568,2648,4308,29776,2911,16688,33563,548,20666,11622,256,471,627,38490,1456,46150,16987,https://www.cdc.gov/nchs/data/nvsr/nvsr63/nvsr63_09.pdf
2013,316234505,2596993,192945,130557,41149,16121,4587,531,2576,4056,31240,3220,16121,33636,505,21175,11208,281,467,588,37427,1535,48545,17316,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_02.pdf
2014,318622525,2626418,"199,752","135,928",42826,15872,4597,529,2609,3995,33018,3196,15872,33594,461,21386,11008,275,464,605,37444,1625,51966,18646, https://www.cdc.gov/nchs/data/nvsr/nvsr65/nvsr65_04.pdf
2015,321039839,2712630,214008,146571,44193,17793,4915,536,0,3602,34488,2646,17793,36252,489,22018,12979,282,484,0,36161,,54294,18769,https://www.cdc.gov/nchs/data/nvsr/nvsr66/nvsr66_06.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Population est (2010-2017):  https://www2.census.gov/programs-surveys/popest/tables/2010-2017/state/totals/nst-est2017-01.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
Population est (2000-2010): https://www2.census.gov/programs-surveys/popest/tables/2000-2010/intercensal/national/us-est00int-01.xls,,,,,,,,,,,,,,,,,,,,,,,,,
